wsize;algorithm;update;query;radius;ratio;memory
500000;PELLCAPPDELTA40;68584.625;2955955.79;1.906931193;1.03570158;377.345
500;CAPPDELTA05;130410.665;41802202.31;1.687311164;0.955619879;1695.83
1000;CAPPDELTA05;130990.065;164035621.3;1.631726512;0.947496014;2558.2
5000;CAPPDELTA05;317004.915;3600512117;1.691901777;0.983038438;7276.405
10000;CAPPDELTA05;384663.575;10756252046;1.70184716;0.984112388;11370.565
20000;CAPPDELTA05;520698.28;28914321114;1.746450698;0.999468652;16915.81
30000;CAPPDELTA05;838810.4;45381775208;1.769696705;1.008272562;20560.585
40000;CAPPDELTA05;1147363.58;62312088422;1.75434344;1;23278.06
50000;CAPPDELTA05;1046121.42;84462734686;1.727169687;1;25442.58
60000;CAPPDELTA05;1105861.225;1.15694E+11;1.749600755;1;27260.15
70000;CAPPDELTA05;1257762.14;1.0124E+11;1.778578401;1;28753.145
80000;CAPPDELTA05;1236334.585;1.43827E+11;1.745146051;1;30131.445
90000;CAPPDELTA05;1272460.375;1.9095E+11;1.761030102;1;31333.72
100000;CAPPDELTA05;1408131.275;1.43303E+11;1.781444616;1;32464.875
