beta;algorithm;update;query;radius;ratio;memory
2;PELLCAPPDELTA20;56311.62;3869364.95;12.09585991;1.293767149;1015.445
2.5;PELLCAPPDELTA20;40799.365;1713969.84;13.39701395;1.432899137;1034.57
3;PELLCAPPDELTA20;34136.44;31924794.93;9.503422344;1.016639946;903.755
3.5;PELLCAPPDELTA20;31385.37;23552274.65;9.810553749;1.049474637;813.29
4;PELLCAPPDELTA20;28508.14;17988556.77;9.431835901;1.008553761;721.78
5;PELLCAPPDELTA20;24456.05;10698752.56;9.680122378;1.034696375;581.8
10;PELLCAPPDELTA20;22893.635;2607864.17;13.50299079;1.445123462;379.85
15;PELLCAPPDELTA20;17688.555;1267279.31;13.47055392;1.440363398;267.305
20;PELLCAPPDELTA20;17630.155;1381079.97;13.71227415;1.465947471;275.195
30;PELLCAPPDELTA20;17403.685;673405.91;13.75672097;1.47061286;245.64
40;PELLCAPPDELTA20;17198.38;656940.275;13.75672097;1.47061286;245.64
50;PELLCAPPDELTA20;18792.925;697342.495;13.75672097;1.47061286;245.64
70;PELLCAPPDELTA20;16410.545;639425.34;13.75672097;1.47061286;245.64
100;PELLCAPPDELTA20;18869.6;687105.23;13.75672097;1.47061286;245.64
200;PELLCAPPDELTA20;18095.375;686622.695;13.75672097;1.47061286;245.64
500;PELLCAPPDELTA20;18009.495;683723.895;13.75672097;1.47061286;245.64
1000;PELLCAPPDELTA20;16799.76;656212.185;13.75672097;1.47061286;245.64
